starId,movieId
nm9429016,ACj127
nm9427529,ACj127
nm9424012,ACj127
nm9430105,ACj127
nm9430106,ACj127
nm9429737,ACj128
nm9426647,ACj128
nm9430107,ACj128
nm9430108,ACj128
nm9430109,ACj128
nm9430110,ACj128
nm9423145,ACj128
nm9430111,ACj128
nm9430112,ACj128
nm9430113,ACj128
nm9430114,ACl10
nm9430115,ACl10
nm9430116,ACl10
nm9430117,ACl10
nm9430118,ACl10
nm9429263,ACt10
nm9424657,ACu15
nm9430119,ACu15
nm9426520,ACu15
nm9430120,ACu20
nm9430121,ACu20
nm9427874,ACu23
nm9430122,ACu23
nm9424637,ACu23
nm9423401,ACu23
nm9430123,ACu27
nm9430124,ACu27
nm9430125,ACu27
nm9430126,ACu27
nm9430127,ACu27
nm9430128,ACv10
nm9430129,ACv10
nm9430130,ACv10
nm9428975,ACx10
nm9424947,ACx10
nm9430131,ACx10
nm9427177,ACx10
nm9430132,ACx10
nm9427765,ACx12
nm9430133,ACx12
nm9430134,ACx12
nm9423785,ACy10
nm9423131,ACy10
nm9428282,ACy10
nm9430135,ACy14
nm9430136,ACy14
nm9426247,ACy20
nm9426865,ACy20
nm9430137,ACy20
nm9425250,ACy38
nm9426824,ACy38
nm9430138,ACy38
nm9430139,ACy38
nm9430140,AD40
nm9430141,AD40
nm9430142,AD40
nm9430143,ADA10
nm9430144,ADA10
nm9427707,AdB21
nm9424192,AdB21
nm9430145,AdB21
nm9426031,AdB21
nm9430146,ADg10
nm9430147,ADg10
nm9430148,AdI15
nm9430149,AdI15
nm9430150,AdI15
nm9430151,AdI15
nm9430152,AdI15
nm9430153,AdI15
nm9430154,AdL5
nm9427702,AdL5
nm9428863,AdL5
nm9430155,AdL5
nm9430156,AdL5
nm9423483,AdL5
nm9430157,AdL5
nm9423469,AdL6
nm9428501,AdL6
nm9430158,AdL6
nm9429907,AdL6
nm9430159,AdL6
nm9430160,AdL6
nm9430161,AdL6
nm9430162,AdL6
nm9430163,AdL6
nm9430164,AdL6
nm9424761,AdL10
nm9424224,AdL10
nm9423260,AdL10
nm9426608,AdL10
nm9427878,AdL10
nm9430165,AdL14
nm9430166,AdL14
nm9430167,AdL14
nm9430168,AdL14
nm9430169,AdL16
nm9427418,AdL16
nm9428253,AdL16
nm9430170,AdL16
nm9430171,AdL16
nm9426094,AdL20
nm9429137,AdL20
nm9425540,AdL20
nm9426584,AdL20
nm9430172,AdL20
nm9430173,AdL20
nm9430174,AdL20
nm9425338,AdL25
nm9426564,AdL25
nm9430175,AdL25
nm9430176,AdL25
nm9429299,ADr10
nm9430177,ADr10
nm9426896,ADr10
nm9430178,ADr10
nm9430179,ADr10
nm9430180,ADr10
nm9430181,ADr10
nm9427721,ADT9
nm9429309,ADT9
nm9424326,ADT9
nm9426529,ADT12
nm9430182,ADT12
nm9425158,ADT12
nm9428514,ADT12
nm9424418,ADT12
nm9430183,ADT12
nm9423807,ADT12
nm9428127,ADT18
nm9426837,ADT18
nm9426428,ADT18
nm9430184,ADT18
nm9426203,ADT18
nm9430185,ADv10
nm9427692,ADv12
nm9426223,ADv14
nm9430186,ADv15
nm9426223,ADv15
nm9426479,ADv17
nm9427427,ADv17
nm9424761,ADv22
nm9427874,ADv22
nm9430187,ADv22
nm9430188,ADv22
nm9424171,ADv22
nm9430189,ADw5
nm9430190,ADw6
nm9430191,ADw6
nm9430192,ADw6
nm9430193,ADw17
nm9423521,ADw17
nm9430194,ADw17
nm9430195,ADw17
nm9425608,ADw17
nm9430196,ADw17
nm9424972,ADw22
nm9423088,ADw22
nm9425468,ADw22
nm9426971,ADw22
nm9429142,ADw27
nm9427436,ADw27
nm9427455,ADw27
nm9429181,ADw27
nm9426317,ADw27
nm9430197,ADw27
nm9430198,ADw27
nm9430199,ADw27
nm9429212,ADw35
nm9425852,ADw35
nm9429341,ADw35
nm9429686,ADw35
nm9430200,ADw35
nm9427586,ADw35
nm9430201,ADw35
nm9423650,ADw35
nm9430202,ADw35
nm9430203,ADw35
nm9430204,ADw35
nm9428506,ADw35
nm9429212,ADw40
nm9428689,ADw40
nm9425619,ADw40
nm9429112,ADw40
nm9423839,ADw40
nm9430205,ADw40
nm9429125,ADw40
nm9428433,ADw40
nm9428103,ADw41
nm9430206,ADw41
nm9429908,ADw41
nm9430207,ADw41
nm9428647,ADw41
nm9429009,ADw41
nm9423650,ADw41
nm9427497,ADw41
nm9430208,ADw41
nm9423873,ADw41
nm9426971,ADw41
nm9429938,ADw41
nm9423193,ADw41
nm9427834,ADw41
nm9426051,ADw41
nm9423191,ADw45
nm9430209,ADw45
nm9423431,ADw45
nm9428647,ADw45
nm9423323,ADw45
nm9429112,ADw45
nm9426971,ADw45
nm9426508,ADw52
nm9430210,ADw52
nm9430211,ADw52
nm9424555,ADw52
nm9423334,ADw52
nm9429632,ADw60
nm9423126,ADw60
nm9429370,ADw60
nm9430212,ADw60
nm9423641,ADw60
nm9430213,ADw60
nm9430214,ADw60
nm9429648,ADw60
nm9430215,ADw70
nm9428247,ADw70
nm9424953,ADw70
nm9425239,ADw70
nm9424078,ADw70
nm9424900,ADw70
nm9429735,ADw72
nm9424593,ADw72
nm9424593,ADw72
nm9423914,ADw72
nm9430216,ADw72
nm9423097,ADw72
nm9428160,ADw72
nm9424078,ADw72
nm9424614,ADw72
nm9427937,ADw75
nm9428247,ADw75
nm9430217,ADw75
nm9425105,ADw75
nm9430218,ADw75
nm9423243,ADw75
nm9425440,ADw75
nm9430219,ADw75
nm9424673,ADw75
nm9430220,ADw75
nm9427125,ADw78
nm9427454,ADw78
nm9425001,ADw78
nm9429525,ADw78
nm9425239,ADw78
nm9428544,ADw78
nm9430221,ADw78
nm9424478,ADw80
nm9425105,ADw80
nm9427937,ADw80
nm9429196,ADw80
nm9430222,ADx1
nm9430223,ADx1
nm9430224,ADx1
nm9430225,ADx1
nm9430226,ADx1
nm9430227,ADx1
nm9430228,ADx11
nm9430229,ADx11
nm9430230,ADx11
nm9430231,ADx12
nm9423131,ADx12
nm9430232,ADx13
nm9430233,ADx13
nm9430234,ADx13
nm9426273,ADx13
nm9430235,ADx14
nm9430236,ADx14
nm9430237,ADx14
nm9430238,ADx14
nm9424619,ADx14
nm9430239,ADx25
nm9423442,ADx30
nm9425751,ADx30
nm9430240,ADx30
nm9423261,ADx37
nm9430241,ADx37
nm9424968,ADx37
nm9430242,ADx37
nm9430243,ADx39
nm9430244,ADx39
nm9430245,ADx39
nm9430246,ADx45
nm9428219,ADz10
nm9430247,ADz10
nm9430248,ADz10
nm9430249,ADz10
nm9428746,ADz10
nm9430250,ADz10
nm9426314,ADz15
nm9430251,ADz15
nm9430252,ADz15
nm9430253,ADz15
nm9428290,AEG25
nm9430254,AEG25
nm9430255,AEG25
nm9430256,AEG25
nm9426899,AEG25
nm9424885,AEG25
nm9428976,AEG37
nm9427959,AEG37
nm9424549,AEG41
nm9429309,AEG41
nm9426749,AEG41
nm9428869,AEG41
nm9430257,AEG41
nm9425124,AEG41
nm9423172,AEG50
nm9430258,AEG50
nm9427134,AEG50
nm9429196,AEG50
nm9430259,AEG50
nm9429586,AEG50
nm9426923,AEG50
nm9424625,AEG50
nm9427897,AEG60
nm9426199,AEG60
nm9424625,AEG60
nm9426384,AEG60
nm9424727,AEG60
nm9428765,AEG60
nm9425427,AEG60
nm9423512,AEG60
nm9423157,AEG60
nm9430260,AEG70
nm9423998,AEG70
nm9430261,AEG70
nm9426922,AEG70
nm9425196,AEG70
nm9430262,AEG70
nm9427388,AEG70
nm9430263,AEG70
nm9430264,AEG70
nm9425676,AES10
nm9426614,AES10
nm9430265,AES10
nm9425069,AES11
